"PROFILE.OS.SYMLINK.FILE.READ.symlink", ".A."
"PROFILE.OS.SYMLINK.FILE.READ.filedir/", "..."
"PROFILE.OS.SYMLINK.FILE.READ.linkdir/", "..."
"PROFILE.OS.SYMLINK.READLINK.target", "..."
"PROFILE.OS.SYMLINK.READLINK.symlink", ".A."
"PROFILE.OS.SYMLINK.READLINK.targetdir/", "..."
"PROFILE.OS.SYMLINK.READLINK.linkdir/", "..."
"PROFILE.OS.FILE.WRITE.dir/", "..."
"PROFILE.OS.FILE.WRITE.file", "M.C"
"PROFILE.OS.SYMLINK.FILE.WRITE.file", "M.C"
"PROFILE.OS.SYMLINK.FILE.WRITE.symlink", ".A."
"PROFILE.OS.SYMLINK.FILE.WRITE.filedir/", "..."
"PROFILE.OS.SYMLINK.FILE.WRITE.linkdir/", "..."
"PROFILE.OS.FILE.CHANGE.dir/", "..."
"PROFILE.OS.FILE.CHANGE.file", "..C"
"PROFILE.OS.SYMLINK.FILE.CHANGE.file", "..C"
"PROFILE.OS.SYMLINK.FILE.CHANGE.symlink", ".A."
"PROFILE.OS.SYMLINK.FILE.CHANGE.filedir/", "..."
"PROFILE.OS.SYMLINK.FILE.CHANGE.linkdir/", "..."
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.file", "..."
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.symlink", "..C"
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.filedir/", "..."
"PROFILE.OS.SYMLINK.FILE.CHANGE.NOFOLLOW.linkdir/", "..."
"PROFILE.OS.DIR.CHANGE.parentdir/", "..."
"PROFILE.OS.DIR.CHANGE.dir/", "..C"
"PROFILE.OS.FILE.RM.last.dir/", "M.C"
"PROFILE.OS.FILE.RM.last.file", "!!!"
"PROFILE.OS.FILE.RM.notlast.dir/", "M.C"
"PROFILE.OS.FILE.RM.notlast.file", "..C"
"PROFILE.OS.SYMLINK.FILE.RM.last.file", "..."
"PROFILE.OS.SYMLINK.FILE.RM.last.symlink", "!!!"
"PROFILE.OS.SYMLINK.FILE.RM.last.filedir/", "..."
"PROFILE.OS.SYMLINK.FILE.RM.last.linkdir/", "M.C"
"PROFILE.OS.DIR.RM.last.parentdir/", "M.C"
"PROFILE.OS.DIR.RM.last.dir/", "!!!"
"PROFILE.OS.SYMLINK.DIR.RM.last.dir/", "..."
"PROFILE.OS.SYMLINK.DIR.RM.last.symlink", "!!!"
"PROFILE.OS.SYMLINK.DIR.RM.last.dirdir/", "..."
"PROFILE.OS.SYMLINK.DIR.RM.last.linkdir/", "M.C"
"PROFILE.OS.DIR.LISTING.notempty.dir/", ".A."
"PROFILE.OS.DIR.LISTING.notempty.file", "..."
"PROFILE.OS.DIR.LISTING.empty.dir/", ".A."
"PROFILE.OS.SYMLINK.DIR.LISTING.notempty.dir/", ".A."
"PROFILE.OS.SYMLINK.DIR.LISTING.notempty.symlink", ".A."
"PROFILE.OS.SYMLINK.DIR.LISTING.notempty.file", "..."
"PROFILE.OS.DIR.TRAVERSAL.dir/", "..."
"PROFILE.OS.SYMLINK.DIR.TRAVERSAL.dir/", "..."
"PROFILE.OS.SYMLINK.DIR.TRAVERSAL.symlink", ".A."
"PROFILE.OS.EXEC.bin", ".A."
"PROFILE.OS.EXEC.dir/", "..."
"PROFILE.OS.EXEC.pwd/", "..."
"PROFILE.OS.SYMLINK.EXEC.bin", ".A."
"PROFILE.OS.SYMLINK.EXEC.bin_symlink", ".A."
"PROFILE.OS.SYMLINK.EXEC.bindir/", "..."
"PROFILE.OS.SYMLINK.EXEC.linkdir/", "..."
"PROFILE.OS.SYMLINK.EXEC.pwd/", "..."
"PROFILE.OS.EXEC.INTOSYMLINKDIR.bin", ".A."
"PROFILE.OS.EXEC.INTOSYMLINKDIR.dir/", "..."
"PROFILE.OS.EXEC.INTOSYMLINKDIR.dir_symlink", ".A."
"PROFILE.OS.EXEC.INTOSYMLINKDIR.pwd/", "..."
